;ACP;IQR;count;mean;median;pol;q1;q3;std
62;PROCESSING_ACPS_JOAO PESSOA;1.0;5372.0;0.27438570364854803;0.0;POLICIES_wage;0.0;1.0;0.4462042013269701
63;PROCESSING_ACPS_JOAO PESSOA;0.0;5540.0;0.18465703971119132;0.0;POLICIES_no_policy;0.0;0.0;0.38801909411302277
64;PROCESSING_ACPS_SAO JOSE DO RIO PRETO;0.0;5491.0;0.01675468949189583;0.0;POLICIES_buy;0.0;0.0;0.1283509636579562
65;PROCESSING_ACPS_SAO JOSE DO RIO PRETO;1.0;5332.0;0.2758814703675919;0.0;POLICIES_rent;0.0;1.0;0.44695736337530834
66;PROCESSING_ACPS_SAO JOSE DO RIO PRETO;1.0;5509.0;0.2842621165365765;0.0;POLICIES_wage;0.0;1.0;0.4510622635941986
67;PROCESSING_ACPS_SAO JOSE DO RIO PRETO;0.0;5354.0;0.14363093014568548;0.0;POLICIES_no_policy;0.0;0.0;0.35071510667658823
68;PROCESSING_ACPS_MACEIO;0.0;5318.0;0.03365927040240692;0.0;POLICIES_buy;0.0;0.0;0.18035055840885159
69;PROCESSING_ACPS_MACEIO;1.0;5416.0;0.2826809453471196;0.0;POLICIES_rent;0.0;1.0;0.45030259657787713
70;PROCESSING_ACPS_MACEIO;1.0;5439.0;0.2825887111601397;0.0;POLICIES_wage;0.0;1.0;0.45025807209309515
71;PROCESSING_ACPS_MACEIO;0.0;5425.0;0.18433179723502305;0.0;POLICIES_no_policy;0.0;0.0;0.3877545431882512
72;PROCESSING_ACPS_SAO JOSE DOS CAMPOS;0.0;5499.0;0.033278777959629025;0.0;POLICIES_buy;0.0;0.0;0.17936359969944493
73;PROCESSING_ACPS_SAO JOSE DOS CAMPOS;1.0;5451.0;0.2808658961658411;0.0;POLICIES_rent;0.0;1.0;0.44942212288315325
74;PROCESSING_ACPS_SAO JOSE DOS CAMPOS;1.0;5359.0;0.2713192759843254;0.0;POLICIES_wage;0.0;1.0;0.4446404462750401
75;PROCESSING_ACPS_SAO JOSE DOS CAMPOS;0.0;5445.0;0.1753902662993572;0.0;POLICIES_no_policy;0.0;0.0;0.38030056637717197
76;PROCESSING_ACPS_ILHEUS - ITABUNA;0.0;5430.0;0.02007366482504604;0.0;POLICIES_buy;0.0;0.0;0.14025231836065222
77;PROCESSING_ACPS_ILHEUS - ITABUNA;1.0;5448.0;0.2907488986784141;0.0;POLICIES_rent;0.0;1.0;0.45410789091988196
78;PROCESSING_ACPS_ILHEUS - ITABUNA;1.0;5516.0;0.29024655547498185;0.0;POLICIES_wage;0.0;1.0;0.4538760761594404
79;PROCESSING_ACPS_ILHEUS - ITABUNA;0.0;5438.0;0.16495034939315925;0.0;POLICIES_no_policy;0.0;0.0;0.3711357320822585
80;PROCESSING_ACPS_SAO LUIS;0.0;5472.0;0.021929824561403508;0.0;POLICIES_buy;0.0;0.0;0.14645445488652634
81;PROCESSING_ACPS_SAO LUIS;1.0;5433.0;0.289526964844469;0.0;POLICIES_rent;0.0;1.0;0.45354283311768756
82;PROCESSING_ACPS_SAO LUIS;1.0;5425.0;0.27336405529953917;0.0;POLICIES_wage;0.0;1.0;0.4456861547880186
83;PROCESSING_ACPS_SAO LUIS;0.0;5383.0;0.15734720416124837;0.0;POLICIES_no_policy;0.0;0.0;0.3641278092976239
84;PROCESSING_ACPS_UBERLANDIA;0.0;5446.0;0.03947851634226956;0.0;POLICIES_buy;0.0;0.0;0.19473048834140663
85;PROCESSING_ACPS_UBERLANDIA;1.0;5473.0;0.2830257628357391;0.0;POLICIES_rent;0.0;1.0;0.4504688451013978
86;PROCESSING_ACPS_UBERLANDIA;1.0;5390.0;0.2795918367346939;0.0;POLICIES_wage;0.0;1.0;0.4487986648442865
87;PROCESSING_ACPS_UBERLANDIA;0.0;5486.0;0.17572001458257383;0.0;POLICIES_no_policy;0.0;0.0;0.38058177972371965
88;PROCESSING_ACPS_MARINGA;0.0;5350.0;0.038130841121495326;0.0;POLICIES_buy;0.0;0.0;0.19151208859198054
89;PROCESSING_ACPS_MARINGA;1.0;5459.0;0.2830188679245283;0.0;POLICIES_rent;0.0;1.0;0.4504655240118235
90;PROCESSING_ACPS_MARINGA;1.0;5448.0;0.290014684287812;0.0;POLICIES_wage;0.0;1.0;0.4537688477465732
91;PROCESSING_ACPS_MARINGA;0.0;5324.0;0.18144252441773104;0.0;POLICIES_no_policy;0.0;0.0;0.3853843986861068
92;PROCESSING_ACPS_VITORIA;0.0;5476.0;0.022096420745069394;0.0;POLICIES_buy;0.0;0.0;0.14699717322222988
93;PROCESSING_ACPS_VITORIA;1.0;5540.0;0.2904332129963899;0.0;POLICIES_rent;0.0;1.0;0.4539622911487071
94;PROCESSING_ACPS_VITORIA;1.0;5531.0;0.28168504791177;0.0;POLICIES_wage;0.0;1.0;0.4498206105712741
95;PROCESSING_ACPS_VITORIA;0.0;5465.0;0.1718206770356816;0.0;POLICIES_no_policy;0.0;0.0;0.3772245113704591
96;PROCESSING_ACPS_CUIABA;0.0;5409.0;0.02680717322980218;0.0;POLICIES_buy;0.0;0.0;0.16151949942105925
97;PROCESSING_ACPS_CUIABA;1.0;5402.0;0.28285820066641987;0.0;POLICIES_rent;0.0;1.0;0.4503880981799755
98;PROCESSING_ACPS_CUIABA;1.0;5439.0;0.277992277992278;0.0;POLICIES_wage;0.0;1.0;0.44800956615784676
99;PROCESSING_ACPS_CUIABA;0.0;5383.0;0.17592420583317853;0.0;POLICIES_no_policy;0.0;0.0;0.3807556692094603
100;PROCESSING_ACPS_BELEM;0.0;5435.0;0.0;0.0;POLICIES_buy;0.0;0.0;0.0
101;PROCESSING_ACPS_BELEM;1.0;5442.0;0.27122381477398017;0.0;POLICIES_rent;0.0;1.0;0.44459133715517885
102;PROCESSING_ACPS_BELEM;1.0;5560.0;0.6969424460431655;1.0;POLICIES_wage;0.0;1.0;0.4595798874478026
103;PROCESSING_ACPS_BELEM;0.0;5390.0;0.07996289424860853;0.0;POLICIES_no_policy;0.0;0.0;0.2712357457858281
104;PROCESSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;0.0;5355.0;0.02427637721755369;0.0;POLICIES_buy;0.0;0.0;0.15390592817284438
105;PROCESSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;1.0;5482.0;0.2781831448376505;0.0;POLICIES_rent;0.0;1.0;0.44810409813556185
106;PROCESSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;1.0;5352.0;0.2826980568011958;0.0;POLICIES_wage;0.0;1.0;0.4503108542796006
107;PROCESSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;0.0;5443.0;0.1721477126584604;0.0;POLICIES_no_policy;0.0;0.0;0.3775087782885592
108;PROCESSING_ACPS_TERESINA;0.0;5399.0;0.018707167994072977;0.0;POLICIES_buy;0.0;0.0;0.1354887813057395
109;PROCESSING_ACPS_TERESINA;1.0;5543.0;0.2836009381201515;0.0;POLICIES_rent;0.0;1.0;0.45074543371788195
110;PROCESSING_ACPS_TERESINA;1.0;5525.0;0.28361990950226246;0.0;POLICIES_wage;0.0;1.0;0.45075454122636505
