;tot_current;current_0;current_1;tot_Tree;Tree_0;Tree_1;tot_MPL;MPL_0;MPL_1;tot_Voting;Voting_0;Voting_1
PROCESSING_ACPS_MARINGA;0.000359;0.000000;0.002107;0.034664;0.037388;0.031453;0.034664;0.034683;0.030872;0.034664;0.034821;0.034058
PROCESSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;0.000359;0.000000;0.002107;0.034747;0.037645;0.031331;0.034747;0.034747;0.034705;0.034747;0.034945;0.033986
PROCESSING_ACPS_PORTO ALEGRE;0.019200;0.019680;0.016860;0.034470;0.025583;0.044946;0.034470;0.034462;0.036118;0.034470;0.034486;0.034408
PROCESSING_ACPS_RECIFE;0.000359;0.000216;0.001054;0.034641;0.033244;0.036288;0.034641;0.034626;0.037732;0.034641;0.034346;0.035776
PROCESSING_ACPS_SALVADOR;0.000359;0.000433;0.000000;0.034518;0.032928;0.036392;0.034518;0.034517;0.034705;0.034518;0.034116;0.036067
PROCESSING_ACPS_SAO JOSE DO RIO PRETO;0.000359;0.000216;0.001054;0.034227;0.037046;0.030904;0.034227;0.034231;0.033495;0.034227;0.034310;0.033908
PROCESSING_ACPS_SAO JOSE DOS CAMPOS;0.000359;0.000433;0.000000;0.034352;0.037140;0.031065;0.034352;0.034369;0.030872;0.034352;0.034771;0.032739
PROCESSING_ACPS_SAO LUIS;0.000359;0.000433;0.000000;0.034540;0.037344;0.031235;0.034540;0.034556;0.031275;0.034540;0.034810;0.033500
PROCESSING_ACPS_SAO PAULO;0.000359;0.000216;0.001054;0.034502;0.033551;0.035623;0.034502;0.034495;0.035916;0.034502;0.034127;0.035946
PROCESSING_ACPS_SOROCABA;0.000359;0.000433;0.000000;0.034215;0.036896;0.031054;0.034215;0.034231;0.031073;0.034215;0.034432;0.033379
PROCESSING_ACPS_TERESINA;0.000359;0.000433;0.000000;0.034697;0.037717;0.031137;0.034697;0.034690;0.036118;0.034697;0.034812;0.034253
PROCESSING_ACPS_UBERLANDIA;0.000359;0.000000;0.002107;0.034560;0.037347;0.031274;0.034560;0.034559;0.034705;0.034560;0.034731;0.033903
PROCESSING_ACPS_VITORIA;0.000359;0.000216;0.001054;0.034432;0.037497;0.030819;0.034432;0.034422;0.036521;0.034432;0.034531;0.034049
STARTING_DAY_2000-01-01;0.015073;0.015138;0.014752;0.500247;0.591103;0.393146;0.500247;0.500245;0.500605;0.500247;0.514577;0.445045
STARTING_DAY_2010-01-01;0.984927;0.984862;0.985248;0.499753;0.408897;0.606854;0.499753;0.499755;0.499395;0.499753;0.485423;0.554955
T_LICENSES_PER_REGION_False;0.003768;0.003893;0.003161;0.333853;0.334667;0.332894;0.333853;0.333800;0.344431;0.333853;0.333938;0.333524
T_LICENSES_PER_REGION_True;0.003768;0.003893;0.003161;0.333577;0.334351;0.332665;0.333577;0.333660;0.316990;0.333577;0.333763;0.332859
T_LICENSES_PER_REGION_random;0.992464;0.992215;0.993678;0.332570;0.330983;0.334441;0.332570;0.332540;0.338579;0.332570;0.332298;0.333616
WAGE_IGNORE_UNEMPLOYMENT_False;0.996232;0.995891;0.997893;0.499919;0.500328;0.499437;0.499919;0.499891;0.505448;0.499919;0.499984;0.499668
WAGE_IGNORE_UNEMPLOYMENT_True;0.003768;0.004109;0.002107;0.500081;0.499672;0.500563;0.500081;0.500109;0.494552;0.500081;0.500016;0.500332
