month;price_index;gdp_index;gdp_growth;unemployment;average_workers;families_median_wealth;families_wealth;families_commuting;families_savings;families_helped;amount_subsidised;firms_wealth;firms_profit;gini_index;average_utility;pct_zero_consumption;rent_default;inflation;average_qli;house_vacancy;house_price;house_rent;affordable;p_delinquent;equally;locally;fpm;bank
;1.137;1015.681;-0.085;0.0;85.85;1.125;4657.718;310.768;6956.23;0;0.0;103103.343;0.0;0.452;0.2508;0.0273;0.0036;0.0;0.634;0.301;265.9479;0.4644;0.2081;0.8125;24886.3805;47706.6379;6015.4509;2.0619
;1.161;1765.932;0.556;0.0;117.11;1.429;8613.83;754.648;14159.522;0;0.0;59075.408;0.0;0.438;0.2674;0.033;0.003;0.0;0.998;0.336;345.4127;0.4383;0.2257;0.8889;42039.234;87507.9934;10021.1678;0.8513
;1.161;1765.932;0.556;0.0;117.11;1.429;8613.83;754.648;14159.522;0;0.0;59075.408;0.0;0.4379999999999999;0.2674;0.033;0.003;0.0;0.998;0.336;345.4127;0.4383;0.2257;0.8889;42039.234;87507.9934;10021.1678;0.8513
;1.524;1026.688;0.03;0.0;35.287;1.149;2711.508;196.108;3904.899;0;0.0;159005.268;-3.709;0.418;0.4389;0.0115;0.003;0.0177;0.749;0.33;219.9699;0.4541;0.2192;0.7333;19956.4356;38008.7992;5527.8804;0.2686
;1.524;1026.688;0.03;0.0;35.287;1.149;2711.508;196.108;3904.899;0;0.0;159005.268;-3.709;0.418;0.4389;0.0115;0.003;0.0177;0.7490000000000001;0.33;219.9699;0.4541;0.2192;0.7333;19956.4356;38008.7992;5527.8804;0.2686
;1.608;1983.641;0.144;0.0;65.074;1.294;6401.292;448.081;10093.682;0;0.0;133425.675;0.0;0.427;0.3967;0.0132;0.0022;0.0;0.743;0.354;295.5015;0.4207;0.2547;0.6571;42610.0897;84557.9046;10207.0478;0.4789
;1.608;1983.641;0.144;0.0;65.074;1.294;6401.292;448.081;10093.682;0;0.0;133425.675;0.0;0.427;0.3967;0.0132;0.0022;0.0;0.743;0.354;295.5015;0.4207;0.2547;0.6571;42610.0897;84557.9046;10207.0478;0.4789
;1.667;1529.094;-0.101;0.0;45.242;1.114;3487.547;217.274;5670.664;0;0.0;140455.309;0.0;0.389;0.4728;0.0081;0.0053;0.002;0.774;0.293;216.5848;0.3872;0.2465;0.4667;28517.6956;53294.4762;8922.9771;0.5684
;1.6669999999999998;1529.094;-0.1009999999999999;0.0;45.242;1.114;3487.547;217.274;5670.664000000001;0;0.0;140455.309;0.0;0.389;0.4728;0.0081;0.0053;0.002;0.774;0.293;216.5848;0.3872;0.2465;0.4667;28517.6956;53294.4762;8922.9771;0.5684
;1.714;932.655;0.127;0.0;61.111;1.13;2707.797;336.268;3858.27;0;0.0;70089.528;0.0;0.408;0.3985;0.0176;0.0126;0.0;0.77;0.372;193.925;0.438;0.249;0.7;20383.4387;38585.9494;9437.8497;0.2183
;1.714;932.655;0.127;0.0;61.111;1.13;2707.797;336.26800000000003;3858.27;0;0.0;70089.52799999999;0.0;0.408;0.3985;0.0176;0.0126;0.0;0.77;0.372;193.925;0.438;0.249;0.7;20383.4387;38585.9494;9437.8497;0.2183
;1.263;727.505;-0.215;0.0;86.965;1.149;2076.714;429.539;3768.187;0;0.0;44483.157;0.0;0.421;0.3945;0.0184;0.0038;0.0;0.713;0.405;185.1358;0.3874;0.2562;0.7692;14896.4438;28390.6287;3376.9455;3.2018
;1.263;727.505;-0.215;0.0;86.965;1.149;2076.714;429.539;3768.187;0;0.0;44483.157;0.0;0.421;0.3945;0.0184;0.0038;0.0;0.713;0.405;185.1358;0.3874;0.2562;0.7692;14896.4438;28390.6287;3376.9455;3.2018
;1.694;3997.417;-0.044;0.067;39.417;1.177;16714.619;907.129;18690.415;0;0.0;543112.695;-8.522;0.464;0.3066;0.0219;0.0111;-0.0015;0.764;0.285;292.5296;0.4617;0.2166;0.7045;98665.6457;186186.3543;32291.7877;5.3649
;1.694;3997.417;-0.044;0.067;39.417;1.177;16714.619;907.129;18690.415;0;0.0;543112.695;-8.522;0.4639999999999999;0.3066;0.0219;0.0111;-0.0015;0.764;0.285;292.5296;0.4617;0.2166;0.7045;98665.6457;186186.3543;32291.7877;5.3649
;2.517;5110.117;-0.12;0.117;68.597;1.305;20415.975;1087.711;27292.96;0;0.0;237727.141;3.562;0.445;0.3363;0.0186;0.0092;0.0004;0.777;0.351;276.6654;0.4734;0.2482;0.8904;125035.819;248393.0528;40669.5213;4.8664
;2.517;5110.117;-0.12;0.1169999999999999;68.597;1.305;20415.975;1087.711;27292.96;0;0.0;237727.141;3.562;0.445;0.3363;0.0186;0.0092;0.0004;0.777;0.351;276.6654;0.4734;0.2482;0.8904;125035.819;248393.0528;40669.5213;4.8664
;1.304;1220.318;-0.139;0.0;38.825;1.119;3746.702;315.693;5348.433;0;0.0;213646.133;-1.328;0.423;0.3544;0.0202;0.0083;0.0;0.799;0.307;263.0056;0.4095;0.2225;0.6667;25330.8801;49404.522;6877.7158;1.1472
;1.304;1220.318;-0.139;0.0;38.825;1.119;3746.702;315.693;5348.433000000001;0;0.0;213646.133;-1.328;0.423;0.3544;0.0202;0.0083;0.0;0.799;0.307;263.0056;0.4095;0.2225;0.6667;25330.8801;49404.522;6877.7158;1.1472
